"Author";"NP"
"ZHANG Y";44
"LI X";35
"WANG Y";35
"LI Y";29
"WANG H";29
"LIU Y";28
"WANG J";25
"ZHANG X";25
"LI J";24
"ZHANG H";24
"ZHANG J";24
"WANG S";22
"WANG X";21
"WANG Z";21
"LI L";20
"ZHANG L";20
"LIU X";19
"ZHANG Z";19
"LI Z";18
"LIU H";18
"WANG L";18
"CHEN J";17
"CHEN X";17
"LI S";17
"LIU J";17
"LIU Z";16
"ZHAO Y";16
"CHEN Y";15
"LI H";15
"LI W";14
"WANG W";14
"WU Z";14
"WU J";13
"GUO Y";12
"CHERRADI M";11
"DARMONT J";11
"WANG B";11
"WANG C";11
"WANG G";11
"YANG L";11
"ZHANG W";11
"LI B";10
"LIU D";10
"SANTOS MY";10
"WANG K";10
"XU X";10
"YANG Y";10
"ZHOU Y";10
"CHEN C";9
"EL HADDADI A";9
"GUPTA A";9
"HU Y";9
"KUMAR P";9
"LI M";9
"LIU Q";9
"MA X";9
"SHENG M";9
"XU Y";9
"YANG J";9
"ZHANG Q";9
"ZHAO J";9
"BELANGOUR A";8
"CHEN H";8
"CHEN L";8
"CIAMPI M";8
"GUO J";8
"HAI R";8
"HE X";8
"LI P";8
"LIU F";8
"LIU L";8
"LIU M";8
"MITSCHANG B";8
"PINGOS M";8
"QUIX C";8
"REN P";8
"SILVESTRI S";8
"WANG Q";8
"YANG Z";8
"YU Z";8
"ZHANG C";8
"ZHANG S";8
"ZHAO L";8
"ZHAO S";8
"ZHAO Z";8
"ABDELLAH A";7
"CHEN G";7
"CHEN Z";7
"COSTA C";7
"CRAVERO A";7
"GRÖGER C";7
"GUPTA S";7
"HUANG J";7
"HUANG X";7
"HUANG Y";7
"JIANG L";7
"LUO Y";7
"SAADANE R";7
"SHARMA A";7
"SHARMA S";7
"SINGH A";7
"SINGH S";7
"TAMBURRI DA";7
"WANG D";7
"WANG R";7
"WREMBEL R";7
"XIAO H";7
"XIE Y";7
"ZHANG B";7
"ZHANG T";7
"ZHU J";7
"ANDREOU AS";6
"ATAEI P";6
"CHEN F";6
"CHEN W";6
"CUZZOCREA A";6
"DIAMANTINI C";6
"GARDA M";6
"GIEBLER C";6
"GUNASEKARAN G";6
"KUMAR A";6
"KUMAR S";6
"LAKHRISSI Y";6
"LI K";6
"LIU P";6
"LIU S";6
"LIU W";6
"LOUDCHER S";6
"MA J";6
"MROZEK D";6
"NADAL S";6
"OUAFIQ EM";6
"ROMERO O";6
"SANDHU R";6
"SCHWARZ H";6
"SUN J";6
"SUN S";6
"TANG Y";6
"VILLEGAS-CH W";6
"WANG T";6
"WU Y";6
"XU B";6
"XU L";6
"XU R";6
"XU Z";6
"YANG G";6
"YANG M";6
"YU H";6
"ZHANG M";6
"ZHANG P";6
"ZHANG R";6
"ZHOU F";6
"ZHOU J";6
"ABELLÓ A";5
"BENJELLOUN S";5
"BIANCHINI D";5
"BLASCH E";5
"CAO Y";5
"CHEN B";5
"CHENG L";5
"DE ANTONELLIS V";5
"DONG X";5
"EL AISSI MEM";5
"EL HADDADI AEL";5
"GAO S";5
"GAO Y";5
"GAO Z";5
"GUO L";5
"GUPTA R";5
"HAN Y";5
"HOOS E";5
"HUANG H";5
"HUANG W";5
"JABEEN H";5
"JAIN R";5
"KACHAOUI J";5
"KIM J";5
"KUMAR D";5
"LAURENT A";5
"LI G";5
"LI N";5
"LI Q";5
"LIANG J";5
"LIU C";5
"LOPEZ D";5
"LU L";5
"MA L";5
"MAŁYSIAK-MROZEK B";5
"MEISEN T";5
"PARK S";5
"POTENA D";5
"RIZZI S";5
"SHARMA P";5
"SHARMA R";5
"SHI X";5
"SONG J";5
"STORTI E";5
"SUN Y";5
"SUN Z";5
"VOUROS GA";5
"WANG F";5
"WANG M";5
"WANG P";5
"WU S";5
"WU X";5
"XU J";5
"YANG C-T";5
"YANG W";5
"YE Z";5
"ZHANG F";5
"ZHANG G";5
"ZHANG K";5
"ZHAO G";5
"ZHAO H";5
"ZHAO X";5
"ZHOU C";5
"ZHU Y";5
"ABDELHÉDI F";4
"AHMAD A";4
"AIT ERRAMI S";4
"ALSALEMI A";4
"AMIRA A";4
"BADIR H";4
"BAI Y";4
"BEHEHSTI A";4
"BELIAKOV A";4
"BENATALLAH B";4
"BHATTACHARYA S";4
"BILAL M";4
"CAO J";4
"CHEN M";4
"CHEN Q";4
"CHEN S";4
"CHONG AYL";4
"DE PIETRO G";4
"DIAO K";4
"DOULKERIDIS C";4
"DU Y";4
"EICHLER R";4
"ER-RAHA B";4
"FAN Y";4
"FAVRE C";4
"FENG Y";4
"FERRI G";4
"FU J";4
"GAO F";4
"GHOSH S";4
"GUO C";4
"GUO X";4
"GUPTA M";4
"HAJJI H";4
"HAN X";4
"HE B";4
"HE H";4
"HU B";4
"HU J";4
"HUANG C";4
"HUANG Q";4
"JEMMALI R";4
"JIA X";4
"JIANG D";4
"JIANG W";4
"JIN Y";4
"KAPSALIS P";4
"KRISTIANI E";4
"KUMAR K";4
"KUMAR N";4
"LEHMANN J";4
"LI D";4
"LI F";4
"LIN X";4
"LIU B";4
"LIU G";4
"LIU K";4
"LO GIUDICE P";4
"LU C";4
"LU W";4
"LUJÁN-MORA S";4
"MA N";4
"MA S";4
"MA Z";4
"MACHADO J";4
"MALEKMOHAMADI H";4
"MARINAKIS V";4
"MARTÍNEZ-MOSQUERA D";4
"MASCIARI E";4
"NGUYEN H-T";4
"NGUYEN T";4
"NGUYEN-HOANG T-A";4
"NING Y";4
"NOÛS C";4
"OLAWADE DB";4
"OUKHOUYA L";4
"PALACIOS-PACHECO X";4
"PALAU CE";4
"PATWA F";4
"RAVAT F";4
"REDDICHARLA N";4
"ROY S";4
"SARABIA-JACOME D";4
"SAWADOGO PN";4
"SFAXI L";4
"SONG C";4
"SONG H";4
"SONG S";4
"SONI S";4
"SPERLÌ G";4
"STAEGEMANN D";4
"SUN B";4
"SUN H";4
"SUN W";4
"SUN X";4
"TAO Y";4
"TRAORÉ Y";4
"URSINO D";4
"WEI H";4
"WEI L";4
"WU C";4
"XIAO J";4
"XIAO N";4
"XUE Z";4
"YADAV A";4
"YAN X";4
"YAN Y";4
"YANG C";4
"YANG D";4
"YANG H";4
"YANG X";4
"YU J";4
"YU L";4
"YU S";4
"YU W";4
"YU X";4
"ZHANG D";4
"ZHENG W";4
"ZHENG Y";4
"ZHOU B";4
"ZHOU L";4
"ZHOU Q";4
"ZHOU S";4
"ZHOU Z";4
"ZULKERNINE F";4
"ZURFLUH G";4
"ABDELLATIF T";3
"ADHIKARI M";3
"AHMAD M";3
"AIT EL KADI K";3
"ALI A";3
"ALI H";3
"ANTHONY JNR B";3
"ARAS H";3
"ASRI H";3
"ASTYAKOPOULOS A";3
"ATHANASIADIS IN";3
"AUER S";3
"AZEROUAL O";3
"BAO Y";3
"BARBARINO S";3
"BARTHE-DELANOË A-M";3
"BELIAKOVA V";3
"BENABEN F";3
"BIKIENGA MM";3
"BIMONTE S";3
"BOHAR B";3
"BOUDRIKI SEMLALI B-EB";3
"BOUKRAÂ D";3
"BREGON A";3
"CAMOSSI E";3
"CAO S";3
"CESARIO A";3
"CH’NG E";3
"CHEN P";3
