"Occurrences","Words","Cluster","Color","Cluster_Label","Cluster_Frequency","btw_centrality","clos_centrality","pagerank_centrality"
1050,"decision making",1,"#E41A1C80","decision making",6699,368.839971581364,0.000470366886171214,0.0323249429916356
851,"data integration",1,"#E41A1C80","decision making",6699,814.826279879812,0.000508130081300813,0.0272097467207547
232,"internet of things",1,"#E41A1C80","decision making",6699,4038.50013044492,0.000568828213879408,0.00729644296401809
214,"decisions makings",1,"#E41A1C80","decision making",6699,3902.86797061426,0.000566893424036281,0.0066050219233524
164,"predictive analytics",1,"#E41A1C80","decision making",6699,2734.06105767528,0.000560538116591928,0.00580751997109488
157,"real- time",1,"#E41A1C80","decision making",6699,5272.94494743086,0.000583090379008746,0.00519400241186029
142,"integration",1,"#E41A1C80","decision making",6699,4438.84445740921,0.000576368876080692,0.00554383810877638
133,"data acquisition",1,"#E41A1C80","decision making",6699,4681.25789444225,0.000580383052814858,0.00422283579889397
117,"network security",1,"#E41A1C80","decision making",6699,3256.08963803307,0.000568504832291074,0.00342453072772849
108,"digital twin",1,"#E41A1C80","decision making",6699,2180.67886290718,0.000554938956714761,0.00390041119324994
92,"data reduction",1,"#E41A1C80","decision making",6699,2618.39677000812,0.00056369785794814,0.00302801594777655
88,"automation",1,"#E41A1C80","decision making",6699,3246.45317566503,0.000569151963574274,0.00292884352847265
83,"sustainable development",1,"#E41A1C80","decision making",6699,1821.1576273753,0.000554016620498615,0.00284825395922813
79,"data quality",1,"#E41A1C80","decision making",6699,2871.50502738242,0.000564015792442188,0.00263269565253127
77,"data accuracy",1,"#E41A1C80","decision making",6699,3224.33099548682,0.000571102227298686,0.00255499255627498
74,"life cycle",1,"#E41A1C80","decision making",6699,2401.98545341339,0.000559597090095132,0.00247436740946824
72,"data driven",1,"#E41A1C80","decision making",6699,2154.29147889966,0.000559597090095132,0.00233365571695597
71,"interoperability",1,"#E41A1C80","decision making",6699,2762.34320463504,0.000566893424036281,0.00250070875811284
70,"anomaly detection",1,"#E41A1C80","decision making",6699,1638.46143227014,0.000554631170271769,0.00214901288017204
68,"real-time data",1,"#E41A1C80","decision making",6699,1921.63854947887,0.000555247084952804,0.00200023408796627
66,"efficiency",1,"#E41A1C80","decision making",6699,1613.44467954397,0.000552791597567717,0.00211133814211202
63,"data assimilation",1,"#E41A1C80","decision making",6699,1858.17510645782,0.000553403431101273,0.00191095456694473
64,"data streams",1,"#E41A1C80","decision making",6699,1377.15591839999,0.000548245614035088,0.00200392677881101
63,"edge computing",1,"#E41A1C80","decision making",6699,1100.46309027623,0.000543183052688756,0.00220344497428806
60,"predictive maintenance",1,"#E41A1C80","decision making",6699,984.851666561124,0.000542888165038002,0.00190564893024094
54,"cost effectiveness",1,"#E41A1C80","decision making",6699,2316.91263124755,0.000561482313307131,0.0018032674743488
54,"real time monitoring",1,"#E41A1C80","decision making",6699,1511.45918735462,0.000552181115405853,0.00165140845108127
51,"case-studies",1,"#E41A1C80","decision making",6699,1880.6516732519,0.000554323725055432,0.00162171533389056
51,"risk management",1,"#E41A1C80","decision making",6699,2153.30363851413,0.000558035714285714,0.00189569314956074
51,"smart manufacturing",1,"#E41A1C80","decision making",6699,725.265827579868,0.000534473543559594,0.0015515563949229
48,"block-chain",1,"#E41A1C80","decision making",6699,892.013153541287,0.000538213132400431,0.00174868715147947
46,"benchmarking",1,"#E41A1C80","decision making",6699,1818.39782562177,0.000551267916207277,0.0016431643192777
46,"industry 4.0",1,"#E41A1C80","decision making",6699,586.63583371209,0.000530503978779841,0.00144217251712706
42,"optimization",1,"#E41A1C80","decision making",6699,1683.18725002322,0.000554631170271769,0.0014324470748493
43,"energy",1,"#E41A1C80","decision making",6699,795.90799961392,0.000536193029490617,0.0013888505426844
41,"energy efficiency",1,"#E41A1C80","decision making",6699,833.673501052484,0.000538213132400431,0.00139951659041905
40,"gasoline",1,"#E41A1C80","decision making",6699,245.340357242385,0.000521376433785193,0.00137331884440244
38,"optimisations",1,"#E41A1C80","decision making",6699,818.69514022161,0.000538793103448276,0.0012535343810792
37,"resource allocation",1,"#E41A1C80","decision making",6699,2015.80443422721,0.000556173526140156,0.00143878900815726
37,"operational efficiencies",1,"#E41A1C80","decision making",6699,495.106699152206,0.00053276505061268,0.00126228324877348
37,"project management",1,"#E41A1C80","decision making",6699,500.371731971157,0.00053276505061268,0.00139453834739935
36,"gas industry",1,"#E41A1C80","decision making",6699,582.176613961864,0.000533049040511727,0.00124793919606055
35,"language model",1,"#E41A1C80","decision making",6699,1026.17375898179,0.000546149645002731,0.00136770053953266
35,"data collection",1,"#E41A1C80","decision making",6699,1104.73919033941,0.000543478260869565,0.00119860581939161
35,"electronic data interchange",1,"#E41A1C80","decision making",6699,843.784763894951,0.000539374325782093,0.00130482505005422
33,"agriculture",1,"#E41A1C80","decision making",6699,837.109712649168,0.000537634408602151,0.00112804577365147
