"Paper";"LCS";"GCS"
"BALAC N, 2020, INTELL INTERNET OF THINGS: FROM DEVICE TO FOG AND CLOUD";1154;2
"NA, 2018, PROC ACM SIGMOD INT CONF MANAGE DATA";114;0
"NA, 2017, ACM INT CONF PROC SER";75;0
"TANIAR D, 2021, LECTURE NOTES DATA ENG COMMUN TECH";60;3
"NA, 2018, CEUR WORKSHOP PROC";41;0
"HAI R, 2016, PROC ACM SIGMOD INT CONF MANAGE DATA";37;213
"LI Y, 2019, MAN OF DIGITAL EARTH";36;22
"SAWADOGO P, 2021, J INTELL INFORM SYST";22;188
"PALEO UF, 2019, INTERNATIONAL ENCYCLOPEDIA OF HUMAN GEOGRAPHY, SECOND EDITION";22;0
"MILOSLAVSKAYA N, 2016, PROCEDIA COMPUT SCI";21;195
