titulo,doi,ano,tipo_documento,na_scopus,metodo_scopus,titulo_pareado_scopus,na_wos,metodo_wos,titulo_pareado_wos
Enhanced Shared Situational Awareness and Decision Support in Maritime Firefighting: Insights from the Overheat Project,10.1109/CogSIMA64436.2025.11079492,2025,IEEE Conferences,False,,,False,,
Efficient Data Exchange Between Typical Data Lake and DWH Corporate Systems,10.1109/ICECET52533.2021.9698468,2021,IEEE Conferences,True,DOI,Efficient Data Exchange between Typical Data Lake and DWH Corporate Systems,True,DOI,Efficient Data Exchange Between Typical Data Lake and DWH Corporate Systems
Data Lake Management for Educational Analysis,10.1109/ETCM56276.2022.9935751,2022,IEEE Conferences,True,DOI,Data Lake Management for Educational Analysis,False,,
Building a Data Lake for Smart Building Data: Architecture for Data Quality and Interoperability,10.1109/IISA59645.2023.10345892,2023,IEEE Conferences,True,DOI,Building a Data Lake for Smart Building Data: Architecture for Data Quality and Interoperability,False,,
The Automation of the Data Lake Ingestion Process from Various Sources,10.23919/MIPRO.2019.8756864,2019,IEEE Conferences,True,DOI,The automation of the data lake ingestion process from various sources,True,TITULO_EXATO,The Automation of the Data Lake Ingestion Process from Various Sources
A Big Data Lake for Multilevel Streaming Analytics,10.1109/IBDAP50342.2020.9245460,2020,IEEE Conferences,True,DOI,A Big Data Lake for Multilevel Streaming Analytics,True,TITULO_EXATO,A Big Data Lake for Multilevel Streaming Analytics
Data Lake Architecture for Storing and Transforming Web Server Access Log Files,10.1109/ACCESS.2023.3270368,2023,IEEE Journals,False,,,True,DOI,Data Lake Architecture for Storing and Transforming Web Server Access Log Files
Solution for detecting sensitive data inside a data lake,10.23919/MIPRO.2018.8400232,2018,IEEE Conferences,False,,,False,,
Open Data Lake to Support Machine Learning on Arctic Big Data,10.1109/BigData52589.2021.9671453,2021,IEEE Conferences,True,DOI,Open Data Lake to Support Machine Learning on Arctic Big Data,True,DOI,Open Data Lake to Support Machine Learning on Arctic Big Data
Toward Sustainable Data Practices: Integrating Open Data With SDG-Based Data Lake Frameworks,10.1109/MTS.2024.3365591,2024,IEEE Magazines,False,,,True,DOI,Toward Sustainable Data Practices: Integrating Open Data With SDG-Based Data Lake Frameworks
Policy-Based Access Control System for Delta Lake,10.1109/CBD58033.2022.00020,2022,IEEE Conferences,True,DOI,Policy-Based Access Control System for Delta Lake,True,DOI,Policy-Based Access Control System for Delta Lake
