fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
2025 IEEE Conference on Cognitive and Computational Aspects of Situation Management (CogSIMA),conferencia,2379-1675,979-8-3315-3308-3,2025,True,ISBN
"2021 International Conference on Electrical, Computer and Energy Technologies (ICECET)",conferencia,,978-1-6654-4231-2,2021,True,ISBN
2022 IEEE Sixth Ecuador Technical Chapters Meeting (ETCM),conferencia,,978-1-6654-8744-3,2022,True,ISBN
"2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA)",conferencia,,979-8-3503-1806-7,2023,True,ISBN
"2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",conferencia,2623-8764,978-953-233-098-4,2019,True,ISBN
2020 1st International Conference on Big Data Analytics and Practices (IBDAP),conferencia,,978-1-7281-8106-6,2020,True,ISBN
IEEE Access,periodico,2169-3536,,2023,True,ISSN
"2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",conferencia,,978-953-233-095-3,2018,False,
2021 IEEE International Conference on Big Data (Big Data),conferencia,,978-1-6654-3902-2,2021,True,ISBN
IEEE Technology and Society Magazine,periodico,1937-416X,,2024,True,ISSN
2022 Tenth International Conference on Advanced Cloud and Big Data (CBD),conferencia,,979-8-3503-0971-3,2022,True,ISBN
2024 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),conferencia,,979-8-3503-8501-4,2024,True,ISBN
2022 30th Telecommunications Forum (TELFOR),conferencia,,978-1-6654-7273-9,2022,True,ISBN
2020 International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),conferencia,,978-1-7281-9619-0,2020,True,ISBN
2025 IEEE International Conference on Unmanned Systems (ICUS),conferencia,2771-7372,979-8-3315-2672-6,2025,True,ISBN
2025 5th International Conference on Soft Computing for Security Applications (ICSCSA),conferencia,,979-8-3315-9491-6,2025,True,ISBN
"6th International Conference on Signal Processing, 2002.",conferencia,,0-7803-7488-6,2002,True,ISBN
"2025 17th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)",conferencia,2995-0651,979-8-3315-4416-4,2025,False,
Proceedings of the Fifth International Conference on Information Fusion. FUSION 2002. (IEEE Cat.No.02EX5997),conferencia,,0-9721844-1-4,2002,False,
2025 IEEE Latin Conference on IoT (LCIoT),conferencia,,979-8-3315-1118-0,2025,True,ISBN
2024 IEEE 4th International Conference on ICT in Business Industry & Government (ICTBIG),conferencia,,979-8-3315-1898-1,2024,True,ISBN
"Conference Record of the Thirty-Third Asilomar Conference on Signals, Systems, and Computers (Cat. No.CH37020)",conferencia,1058-6393,0-7803-5700-0,1999,True,ISSN_SERIE
"2025 International Conference on Quantum Photonics, Artificial Intelligence, and Networking (QPAIN)",conferencia,,979-8-3315-9694-1,2025,True,TITULO_FUZZY_ANO(95)
2025 16th International Conference on Information and Communication Technology Convergence (ICTC),conferencia,2162-1241,979-8-3315-5678-5,2025,True,ISBN
"Proceedings of 2013 2nd International Conference on Measurement, Information and Control",conferencia,,978-1-4799-1392-3,2013,False,
2025 International Conference on Military Technologies (ICMT),conferencia,2996-4474,979-8-3315-2338-1,2025,True,ISBN
16th DASC. AIAA/IEEE Digital Avionics Systems Conference. Reflections to the Future. Proceedings,conferencia,,0-7803-4150-3,1997,False,
IEEE Transactions on Aerospace and Electronic Systems,periodico,1557-9603,,1991,True,ISSN
Proceedings of 1st International Conference on Conventional and Knowledge Based Intelligent Electronic Systems. KES '97,conferencia,,0-7803-3755-7,1997,False,
2023 International Conference on Artificial Intelligence and Applications (ICAIA) Alliance Technology Conference (ATCON-1),conferencia,,978-1-6654-5627-2,2023,True,ISBN
IEEE Security & Privacy,periodico,1558-4046,,2015,True,ISSN
2018 21st International Conference on Information Fusion (FUSION),conferencia,,978-0-9964527-6-2,2018,True,ISBN
2015 Annual IEEE Systems Conference (SysCon) Proceedings,conferencia,,978-1-4799-5927-3,2015,True,ISBN
2025 Joint International Conference on Automation-Intelligence-Safety (ICAIS) & International Symposium on Autonomous Systems (ISAS),conferencia,2996-3850,979-8-3315-4470-6,2025,True,ISBN
"2025 1st International Conference on Secure IoT, Assured and Trusted Computing (SATC)",conferencia,,979-8-3315-1420-4,2025,True,ISBN
2009 International Conference on Computational Intelligence and Software Engineering,conferencia,,978-1-4244-4507-3,2009,False,
2025 Global Conference on Information Technology and Communication Networks (GITCON),conferencia,,979-8-3315-3348-9,2025,True,ISBN
2019 International Conference on Military Communications and Information Systems (ICMCIS),conferencia,,978-1-5386-9383-4,2019,True,ISBN
2021 IEEE/AIAA 40th Digital Avionics Systems Conference (DASC),conferencia,2155-7209,978-1-6654-3420-1,2021,True,ISBN
"2006 International Conference on Communications, Circuits and Systems",conferencia,,0-7803-9584-0,2006,False,
"The Proceedings of the Multiconference on ""Computational Engineering in Systems Applications""",conferencia,,7-302-13922-9,2006,False,
MILCOM 2012 - 2012 IEEE Military Communications Conference,conferencia,2155-7586,978-1-4673-1731-3,2012,True,ISSN_SERIE
2025 International Conference on Digital Innovations for Sustainable Solutions (ICDISS),conferencia,,979-8-3315-5641-9,2025,True,ISBN
[1990] Proceedings. Second IEEE Workshop on Future Trends of Distributed Computing Systems,conferencia,,0-8186-2088-9,1990,False,
2015 IEEE Conference on Prognostics and Health Management (PHM),conferencia,,978-1-4799-1894-2,2015,False,
Proceedings of the Third International Conference on Information Fusion,conferencia,,2-7257-0000-0,2000,False,
2024 Winter Simulation Conference (WSC),conferencia,1558-4305,979-8-3315-3420-2,2024,True,ISBN
2023 International Wireless Communications and Mobile Computing (IWCMC),conferencia,2376-6506,979-8-3503-3339-8,2023,True,ISBN
2025 IEEE European Technology and Engineering Management Summit (E-TEMS),conferencia,2836-7588,979-8-3315-1150-0,2025,True,TITULO_FUZZY_ANO(96)
"Proceedings of 7th International Workshop on Enterprise networking and Computing in Healthcare Industry, 2005. HEALTHCOM 2005.",conferencia,,0-7803-8940-9,2005,True,TITULO_FUZZY_ANO(96)
"IEEE-International Conference On Advances In Engineering, Science And Management (ICAESM -2012)",conferencia,,978-81-909042-2-3,2012,True,TITULO_EXATO_ANO
2024 36th Conference of Open Innovations Association (FRUCT),conferencia,2305-7254,978-952-65246-2-7,2024,True,ISBN
2024 6th Novel Intelligent and Leading Emerging Sciences Conference (NILES),conferencia,,979-8-3503-7851-1,2024,True,ISBN
"Proceedings of ICSSSM '05. 2005 International Conference on Services Systems and Services Management, 2005.",conferencia,2161-1904,0-7803-8971-9,2005,True,TITULO_FUZZY_ANO(98)
IEEE Transactions on Big Data,periodico,2332-7790,,2025,True,ISSN
MILCOM 2018 - 2018 IEEE Military Communications Conference (MILCOM),conferencia,2155-7586,978-1-5386-7185-6,2018,True,ISBN
2017 Progress in Electromagnetics Research Symposium - Fall (PIERS - FALL),conferencia,,978-1-5386-1211-8,2017,True,ISBN
